ATL,Bogdan Bogdanovic
BOS,JD Davison
BOS,Mfiondu Kabengele
BKN,Kevin Durant
CHI,Javonte Green
CHI,Goran Dragic
CLE,Ricky Rubio
CLE,Dean Wade
DAL,Christian Wood
DAL,Maxi Kleber
DAL,McKinley Wright IV
DEN,Peyton Watson
DEN,Jeff Green
DEN,Nikola Jokic
DEN,Vlatko Cancar
DET,Buddy Boeheim
DET,Nerlens Noel
DET,Cory Joseph
DET,Cade Cunningham
DET,Marvin Bagley III
GSW,Andre Iguodala
GSW,Stephen Curry
GSW,Andre Iguodala
GSW,James Wiseman
GSW,Draymond Green
GSW,Klay Thompson
GSW,Andrew Wiggins
IND,Tyrese Haliburton
LAC,John Wall
LAC,Luke Kennard
LAL,Anthony Davis
LAL,Lonnie Walker IV
LAL,Austin Reaves
MEM,Ziaire Williams
MIA,Duncan Robinson
MIN,Rudy Gobert
MIN,Austin Rivers
MIN,Jordan McLaughlin
MIN,Karl-Anthony Towns
MIN,Taurean Prince
MIN,Anthony Edwards
NOP,Brandon Ingram
NOP,Zion Williamson
NOP,Naji Marshall
NYK,Mitchell Robinson
OKC,Aleksej Pokusevski
OKC,Jeremiah Robinson-Earl
ORL,Chuma Okeke
PHO,Chris Paul
PHO,Landry Shamet
PHO,Josh Okogie
PHO,Cameron Payne
PHO,Devin Booker
POR,Justise Winslow
SAS,Devin Vassell
TOR,Dalano Banton
TOR,Otto Porter Jr.
UTA,Kelly Olynyk
