BOS,51,36,15,0.706,2483,55.9,0.257,13.4,25.3,53.2,0.228,12.8,25.6
DEN,50,34,16,0.680,2410,57.9,0.265,15.1,28.8,54.7,0.276,14.0,27.2
MIL,50,33,17,0.660,2420,54.2,0.253,15.2,29.8,52.1,0.230,12.3,25.8
PHI,49,32,17,0.653,2377,55.9,0.285,14.1,25.2,53.9,0.281,15.3,28.8
MEM,50,32,18,0.640,2410,53.0,0.272,14.0,33.2,52.1,0.263,14.9,28.6
BKN,50,31,19,0.620,2405,58.3,0.246,14.6,22.8,52.1,0.287,14.1,31.2
CLE,52,31,21,0.596,2531,55.3,0.279,14.3,27.6,53.7,0.264,15.4,26.9
SAC,49,28,21,0.571,2362,57.0,0.284,14.0,26.2,55.3,0.256,14.0,26.6
MIA,51,28,23,0.549,2463,52.1,0.255,13.8,27.4,55.5,0.255,17.0,26.5
NYK,51,27,24,0.529,2483,52.5,0.284,13.2,32.7,52.7,0.267,13.0,29.1
LAC,53,28,25,0.528,2554,54.4,0.274,14.8,28.2,53.5,0.258,13.0,26.9
GSW,50,26,24,0.520,2420,56.6,0.226,16.0,26.5,54.1,0.290,14.3,27.9
DAL,52,27,25,0.519,2531,55.9,0.318,12.6,23.2,54.5,0.297,14.0,28.5
PHO,52,27,25,0.519,2516,53.5,0.236,14.3,31.3,53.3,0.291,15.0,29.2
NOP,51,26,25,0.510,2478,53.9,0.287,14.9,29.8,54.5,0.265,15.2,26.8
MIN,53,27,26,0.509,2554,56.0,0.275,15.6,25.8,53.9,0.291,15.7,30.8
UTA,52,26,26,0.500,2511,55.5,0.267,15.1,30.9,54.5,0.269,13.6,29.5
ATL,51,25,26,0.490,2473,53.5,0.239,12.6,27.3,54.3,0.265,14.3,29.2
OKC,50,24,26,0.480,2430,53.4,0.245,13.4,28.3,53.6,0.290,16.1,30.8
POR,50,24,26,0.480,2410,55.9,0.300,15.2,28.4,54.6,0.278,13.6,28.9
WAS,50,24,26,0.480,2410,54.4,0.268,13.9,27.0,52.6,0.251,12.3,27.5
CHI,49,23,26,0.469,2377,55.0,0.255,13.4,23.4,54.8,0.264,14.7,26.7
IND,52,24,28,0.462,2501,53.5,0.268,15.0,29.2,54.6,0.287,15.3,31.1
LAL,51,23,28,0.451,2478,53.9,0.286,13.6,25.9,54.0,0.239,12.4,27.8
TOR,52,23,29,0.442,2516,51.3,0.276,11.9,31.4,56.6,0.280,16.8,28.4
ORL,51,20,31,0.392,2458,53.7,0.299,15.2,27.2,55.0,0.266,14.1,27.6
CHA,51,15,36,0.294,2478,51.2,0.257,13.4,29.1,55.4,0.278,14.7,28.5
SAS,51,14,37,0.275,2458,52.8,0.234,15.0,30.9,58.1,0.253,13.9,29.9
DET,52,13,39,0.250,2511,52.2,0.312,14.6,29.1,56.3,0.288,13.8,29.3
HOU,50,12,38,0.240,2410,51.3,0.285,17.0,34.1,55.5,0.273,13.6,27.3
